"País","Impuestos","Inversión","Variación","PBIpc"
"Kenya",29.4335816997213,18.2820628103737,4.80569652382397,2.36450286708845
"Kiribati",12.3362895521175,29.5623634176086,0.891508170372333,-0.552601960765102
"Korea, Rep.",21.735893047006,31.5115469416487,3.15963574012777,2.87019696151147
"Kyrgyz Republic",35.0057123155546,31.4657391469581,4.73993725374304,2.73409191928799
"Latvia",44.5133498829946,20.7260191523695,3.78731375779996,4.71118077558484
"Lebanon",32.7953837722237,20.9820330446992,0.850699558756901,-0.640947405586658
"Lesotho",31.0160901843713,27.513655654372,-1.32168515344736,-2.09599926513209
"Lithuania",35.0421840975974,19.9891813378449,4.24757675412258,5.71553322530551
"Luxembourg",28.1716955939628,18.7601584399368,1.80118170327937,-0.643742843208457
"Macao SAR, China",83.4236869843984,19.7020582920889,9.88758406914916,8.166864718233
"Madagascar",46.5342557272241,18.1394244899989,3.93331617112426,1.18501476402582
"Malawi",33.8065191660294,13.1920494812107,4.00003051653042,1.26339856039046
"Malaysia",28.6565513110129,25.0742901969018,5.74182957621825,4.31327421237684
"Mali",48.1401459854015,18.2380165095135,5.41853337183656,2.30384987354203
"Malta",33.1240473425935,20.6002265901083,6.47119280850706,3.59487193885144
"Marshall Islands",9.0261179462506,23.2431734161339,4.05664458426934,3.47773562769626
"Mauritius",56.7988413690458,17.388194688988,3.81415211496423,3.72056764808697
"Mexico",27.2451029390959,22.1285663393589,2.11808234691182,0.936351596149308
"Moldova",48.5438089907393,22.2876742171844,4.69079342838687,6.47716051900574
"Mongolia",30.9133751799936,24.6422601784557,5.33703793307947,3.39455816231941
"Morocco",44.4238148576342,28.6425648727466,4.23485005408639,2.88232634192023
"Mozambique",30.0043106496494,22.8399775722689,3.74131759312564,0.775389933070514
"Myanmar",19.6576811297521,31.1084196054278,6.404977325147,5.73254353770002
"Namibia",21.2718588457431,17.7236243887174,-0.256275905911707,-2.10626103998536
"Nepal",46.0071839045849,31.4337263818327,8.22349948315457,6.78979819574086
"Netherlands",26.5518108911949,20.1410019156102,2.91090258405885,2.30428480308397
"New Zealand",29.1082754066876,23.1148652388068,3.16309750171506,0.996067751736391
"Nicaragua",48.0696753764641,26.7613691223327,4.63138368138509,3.30595171095914
"North America",2.36635558979664,20.706434184157,2.30903084152902,1.60808077809062
"North Macedonia",43.3471421842151,22.557943135967,1.08177273813243,1.02103616721902
"Norway",26.8635624061373,24.5612193062898,2.3232584068849,1.50014937986147
"OECD members",32.1314483405493,21.4274906443412,2.50181882732608,1.87517353339244
"Palau",25.1516146612076,27.512959194864,-3.51792471457112,-3.96761093698187
"Paraguay",36.0973562748898,19.1864486304479,4.95805142159847,3.59484709836791
"Peru",35.3430522959468,20.607596923788,2.51883544233135,0.829119680820753
"Philippines",26.9562241814407,25.6429281897435,6.93098832586378,5.39642629946519
"Poland",36.809539897569,17.5300889586604,4.93766324502775,4.92456773838559
"Portugal",33.0433243689928,16.7839761535773,3.506343238044,3.75909233711131
"Romania",33.8730815532395,22.4082251490478,7.11144063254122,7.74018264379484
"Russian Federation",22.2648615952779,21.9821391240723,1.82579006356434,1.7093892235272
"Rwanda",28.4996506797033,22.7136710424975,3.98678675464326,1.27779563858341
"San Marino",20.7380802868511,20.3576422493648,0.589721988205554,0.0908213445647306
"Saudi Arabia",5.46903018661023,24.4842685417617,-0.741502652864284,-2.71045514265793
"Senegal",35.293046407578,25.8256617810862,7.4074861863013,4.44110250235867
"Singapore",19.7846022553015,25.4312677684735,4.33660491918172,4.24420834931072
"Slovak Republic",30.6409002210936,21.1645539194194,3.04633595271329,2.8865536898083
"Slovenia",35.8887037612349,18.3187331683505,4.83338291255968,4.76509673716556
"South Africa",32.8172313420919,18.7645465995098,1.41451262585058,-0.00313895407710163
"South Asia",38.771471520544,26.8669198859333,6.82865103557285,5.53750787254597
"Spain",48.3214044010582,18.6627167396233,2.8917681073267,2.65067933874772
"Sri Lanka",55.6488940436462,26.3859066192691,3.5781696792194,2.41409866202615
"St. Kitts and Nevis",24.3263616349191,30.0178695485803,-1.97780993728895,-2.76884307834648
"Sweden",37.5391848522511,25.1364837125472,2.56792452526476,1.19514757132167
"Switzerland",30.4765367348679,24.4244327158909,1.79940898587698,0.853880295768178
"Tanzania",42.6766646193161,35.4598039791036,6.78568011405196,3.64001088107275
"Thailand",43.2983170771208,23.1158312783783,4.06625034855084,3.70759319747143
"Timor-Leste",6.98278190981084,32.428637839488,-3.79864861152001,-5.65363722359426
"Togo",47.0845767550275,23.7758843413131,4.35741391467567,1.80187236346762
"Turkey",38.4169790584657,30.0791088960001,7.47086689265535,5.77447287106783
"Uganda",47.835191457529,24.0524228864223,3.89774765681456,0.0738554799874436
"Ukraine",43.9925787102004,15.7622519925386,2.46603562470679,2.91717540040885
"United Arab Emirates",1.31561237984335,18.9768076182667,2.37353670828251,1.01150251085575
"United Kingdom",33.4109174009201,17.2363608630151,1.89207703836381,1.20219437283609
"Uruguay",30.4726168269865,16.4733921971761,2.59133869422379,2.2177686458628
"Uzbekistan",38.6080927714983,25.5535202604071,4.46152609017476,2.71763017750928
"West Bank and Gaza",43.8354112811655,22.4160407225774,3.14023678003272,1.10936176987309
"Zambia",36.8945167456754,38.8084620473107,3.50432594764749,0.493954923967465
"Zimbabwe",47.0642422354299,9.6658914912027,4.70403539054713,3.18639907529273
