"Pais","EstabilidadPolÃ­tica","Electoral","PoliticalparticiÂ­pation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","gastosocial","Desem","HDI","POB"
"Cambodia",0.108229,0.83,3.33,5.63,3.24,45.7711187590247,21.8977204773553,6.82908244842493,5.20676239636408,-0.579185724258423,-0.56883442401886,-1.30240082740784,0.4167,24.62,0.393,0.581,17.7
"Cameroon",-1.37598,1.67,3.33,4.38,2.35,41.0902267595331,22.9734337191834,3.54908731821561,0.853486026492732,-0.812146544456482,-0.827004790306091,-1.20866203308105,0.4167,19.83,3.506,0.563,37.5
"Chile",0.4252459,9.58,5,8.13,9.12,50.1323943871787,21.0181228972543,1.18857258229856,-0.243323996034391,1.06042039394379,1.22416913509369,1.08845686912537,0.8571,25.36,6.508,0.847,8.6
"China",-0.2610621,0,3.33,2.5,1.18,32.8767194814443,41.8611877410578,6.94620009249279,6.34990962208937,0.518253147602081,-0.24461442232132,-0.32349681854248,0.9643,34.09,4.629,0.758,3.1
"Colombia",-0.8133885,9.17,5.56,5.63,8.53,25.5948374189759,21.7227919184852,1.35936086788746,-0.153066085789078,0.071223221719265,0.396612107753754,-0.229167059063911,0.869,28.1,8.299,0.761,27
"Costa Rica",0.4864345,9.58,6.67,7.5,9.41,30.3847886896201,17.2509054164613,3.86019845392708,2.7983177205799,0.423158675432205,0.498035132884979,0.72237104177475,0.6548,19.69,8.999,0.794,20
"Croatia",0.7688776,9.17,5.56,5,7.06,46.8273890503588,20.0108616746628,3.13913464000225,4.38489698473809,0.409974545240402,0.591005802154541,0.125540927052498,0.8929,47.1,16.175,0.837,19.5
"Czech Republic",1.040143,9.58,6.67,6.88,8.53,30.5136255808505,24.7713861779058,4.3526035198277,4.07576634597022,0.885638177394867,1.24512839317322,0.506227731704712,0.7262,41.9,5.046,0.891,9.7
"Dominican Republic",0.0347933,9.17,6.11,5,7.06,49.1059331678895,23.7302591559707,4.66670467732366,3.51792400301198,-0.357477992773056,-0.0535923987627029,-0.763216972351074,0.7738,16.49,7.605,0.745,30.5
"El Salvador",-0.3348508,9.17,6.11,3.75,7.06,39.0163626266666,16.0288159748911,2.24994225188968,1.73807806030517,-0.465440303087234,0.0216384865343571,-0.552564859390259,0.6786,24.1,3.998,0.667,29.2
"Equatorial Guinea",-0.0511222,0,3.33,4.38,1.47,6.1052197807501,13.9565530197219,-5.66750295652729,-9.16737037071277,-1.34201169013977,-1.52051615715027,-1.7228856086731,0.0714,19.88,6.644,0.588,76.8
"Estonia",0.5999668,9.58,6.67,6.88,8.53,38.1404161339068,24.8113018096761,5.74880209154125,5.62084882162608,1.1747465133667,1.59112417697906,1.54232931137085,1,39,6.187,0.882,21.8
"Ethiopia",-1.343246,0.42,5.56,5,2.65,33.2564096068506,38.443986368294,9.56418964295607,6.68450254520796,-0.63457727432251,-0.888970911502838,-0.40646505355835,0.3333,16.08,2.195,0.47,23.5
"Gabon",-0.2475997,2.58,4.44,5,3.82,14.8770918049239,21.4118164978258,0.479762270647498,-2.29157573813745,-0.897753238677979,-0.957122266292572,-0.935491442680359,0.2738,17.09,20.26,0.702,33.4
"Ghana",0.0298971,8.33,6.67,6.25,6.18,33.6188416100701,20.5795459901747,8.14344654879852,5.76855148755246,-0.210104018449783,-0.111049562692642,-0.0790386348962784,0.631,21.45,6.806,0.596,23.4
"Guatemala",-0.541353,6.92,3.89,4.38,6.47,53.9497732138322,13.6116529077485,3.02343068680067,1.36013893883829,-0.676840841770172,-0.224992647767067,-0.898420393466949,0.5,12.33,2.506,0.651,59.3
"Guinea-Bissau",-0.6697532,4.92,2.78,3.13,2.35,23.7306596962583,8.93159183271927,5.9191766258605,3.27088724175688,-1.51444113254547,-1.2333345413208,-1.45398604869843,0.0833,21.2,2.604,0.461,69.3
"Hungary",0.7552119,8.75,5,6.25,7.06,36.6280934243768,22.2261307589829,4.32280900057566,4.60053160751239,0.495365083217621,0.603486657142639,-0.00103515374939889,0.6786,46.1,6.813,0.845,14.9
"India",-0.9565214,8.67,6.67,5.63,6.76,31.5357591365031,28.0679230856293,7.04382085538124,5.91239788601601,0.171554371714592,-0.160555705428123,-0.233253955841064,0.8571,26.18,5.565,0.647,21.9
"Indonesia",-0.5334369,7.92,6.11,5.63,5.59,38.1116436734931,32.1606388642645,5.06978590134916,3.84233415747524,0.182740747928619,-0.0933143347501755,-0.418996125459671,0.75,16.64,4.514,0.707,10.6
"Jamaica",0.4869154,8.75,4.44,6.25,8.24,49.2934647716335,22.1374412435623,1.0033653175016,0.497977273627015,0.495820760726929,0.167548999190331,-0.0565555803477764,0.369,29.44,13.511,0.726,19.9
"Jordan",-0.3794051,3.58,3.89,4.38,3.53,40.3140656143942,19.3022608105981,2.1157328887228,-0.262010615064241,0.0994702652096748,0.0346093736588955,0.127979531884193,0.3333,30.9,13.075,0.723,14.4
"Kazakhstan",0.0004052,0.5,4.44,4.38,3.24,19.6336289375951,21.6975502563792,4.10000000033857,2.69343213409594,0.124712504446507,0.13722650706768,-0.319982260465622,0.881,19.54,4.93,0.817,2.5
"Kenya",-1.164113,3.5,6.67,5.63,4.41,29.4335816997213,18.2820628103737,4.80569652382397,2.36450286708845,-0.383268862962723,-0.277037471532822,-0.777246236801147,0.5952,25.47,2.794,0.579,36.1
"Latvia",0.4215345,9.58,6.11,6.88,8.82,44.5133498829946,20.7260191523695,3.78731375779996,4.71118077558484,1.10502827167511,1.19268560409546,0.484939754009247,0.5833,38.9,9.873,0.854,22.5
"Lebanon",-1.644891,3.92,6.67,5,4.71,32.7953837722237,20.9820330446992,0.850699558756901,-0.640947405586658,-0.832802474498749,-0.42559215426445,-1.16021323204041,0.3333,30.36,6.357,0.73,27.4
"Lesotho",-0.2183286,9.17,6.67,5.63,6.76,31.0160901843713,27.513655654372,-1.32168515344736,-2.09599926513209,-0.832261681556702,-0.535603582859039,-0.0273043066263199,0.3452,46.54,24.394,0.518,57.1
"Lithuania",0.752799,9.58,6.11,6.25,9.12,35.0421840975974,19.9891813378449,4.24757675412258,5.71553322530551,1.04338085651398,1.15736365318298,0.675985991954803,0.7381,34.9,9.12,0.869,22.2
"Madagascar",-0.5190363,7.92,6.11,5.63,5,46.5342557272241,18.1394244899989,3.93331617112426,1.18501476402582,-1.14245367050171,-0.73004561662674,-1.00936961174011,0.2976,16.33,1.785,0.521,70.7
"Malawi",-0.3250225,6.08,5,6.25,5.88,33.8065191660294,13.1920494812107,4.00003051653042,1.26339856039046,-0.749436676502228,-0.701195478439331,-0.781152665615082,0.4167,29.14,5.846,0.485,51.5
"Malaysia",0.2373901,9.17,6.67,6.25,5.88,28.6565513110129,25.0742901969018,5.74182957621825,4.31327421237684,0.998685657978058,0.673140823841095,0.247522801160812,0.8571,22.7,3.1,0.804,0.4
"Mali",-2.05126,6.42,3.89,5.63,5.59,48.1401459854015,18.2380165095135,5.41853337183656,2.30384987354203,-1.05644416809082,-0.573185980319977,-0.696643471717834,0.3214,20.19,7.729,0.427,41.1
"Mauritius",0.872838,9.17,5.56,8.75,9.41,56.7988413690458,17.388194688988,3.81415211496423,3.72056764808697,0.871139883995056,0.996520400047302,0.317111998796463,0.6429,24.77,7.41,0.796,7.9
"Mexico",-0.572437,7.83,7.22,3.13,6.18,27.2451029390959,22.1285663393589,2.11808234691182,0.936351596149308,-0.157008394598961,0.103679791092873,-0.821080088615417,0.8214,25.67,4.313,0.767,43.6
"Mongolia",0.7887995,9.17,5.56,5,7.06,30.9133751799936,24.6422601784557,5.33703793307947,3.39455816231941,-0.194830313324928,-0.0112419845536351,-0.441760748624802,0.6071,28.74,4.861,0.735,21.6
"Morocco",-0.3318862,5.25,5.56,5.63,4.41,44.4238148576342,28.6425648727466,4.23485005408639,2.88232634192023,-0.119225241243839,-0.211528360843658,-0.27653631567955,0.5119,29.76,9.46,0.676,4.8
