"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"Cameroon",19.83,-1.37598,1.67,3.33,4.38,2.35,41.0902267595331,22.9734337191834,3.54908731821561,0.853486026492732,-0.812146544456482,-0.827004790306091,-1.20866203308105,0.4167,3.506,0.563,37.5
"Central African Republic",16.27,-2.281261,1.25,1.11,1.88,2.35,NA,NA,NA,NA,-1.74720096588135,-1.37281239032745,-1.22843992710114,0.1429,3.864,0.381,62
"Chad",14.88,-1.478995,0,1.67,3.75,2.65,NA,NA,NA,NA,-1.568403840065,-1.11924827098846,-1.42056667804718,0.2619,1.833,0.401,46.7
"Chile",25.36,0.4252459,9.58,5,8.13,9.12,50.1323943871787,21.0181228972543,1.18857258229856,-0.243323996034391,1.06042039394379,1.22416913509369,1.08845686912537,0.8571,6.508,0.847,8.6
"China",34.09,-0.2610621,0,3.33,2.5,1.18,32.8767194814443,41.8611877410578,6.94620009249279,6.34990962208937,0.518253147602081,-0.24461442232132,-0.32349681854248,0.9643,4.629,0.758,3.1
"Colombia",28.1,-0.8133885,9.17,5.56,5.63,8.53,25.5948374189759,21.7227919184852,1.35936086788746,-0.153066085789078,0.071223221719265,0.396612107753754,-0.229167059063911,0.869,8.299,0.761,27
"Comoros",16.37,-0.2032647,2.08,3.89,3.75,3.82,NA,NA,NA,NA,-1.66919755935669,-1.11925554275513,-1.02034974098206,0.119,4.493,0.538,42.4
"Costa Rica",19.69,0.4864345,9.58,6.67,7.5,9.41,30.3847886896201,17.2509054164613,3.86019845392708,2.7983177205799,0.423158675432205,0.498035132884979,0.72237104177475,0.6548,8.999,0.794,20
"Croatia",47.1,0.7688776,9.17,5.56,5,7.06,46.8273890503588,20.0108616746628,3.13913464000225,4.38489698473809,0.409974545240402,0.591005802154541,0.125540927052498,0.8929,16.175,0.837,19.5
"Cyprus",39.5,0.543319,9.17,6.67,6.88,8.82,36.7273503540483,21.1127603931716,4.36123796615959,3.3949920405493,0.992490410804749,1.01234316825867,0.604877233505249,0.9524,NA,NA,NA
"Czech Republic",41.9,1.040143,9.58,6.67,6.88,8.53,30.5136255808505,24.7713861779058,4.3526035198277,4.07576634597022,0.885638177394867,1.24512839317322,0.506227731704712,0.7262,5.046,0.891,9.7
"Denmark",49.6,0.9590668,10,8.33,9.38,9.12,35.9476665426648,21.1914043445611,2.036165206055,1.3818217343226,1.93789863586426,1.56501233577728,2.1073682308197,0.9643,NA,NA,NA
"Djibouti",26.72,-0.1341229,0.42,3.89,5.63,2.65,NA,NA,NA,NA,-0.713342666625977,-0.771701872348785,-0.855659902095795,0.2143,10.584,0.495,21.1
